ID,Grade Level,Title (Raw Strings),Title (Clean),Salary (Minimum),Salary (Increment),Salary (Maximum),Reference,Effective Date (YYYY-MM-DD)
MMR_CIVSRVT_0035,3,လက်ထောက်အတွင်းဝန်,လက်ထောက်အတွင်းဝန်," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0036,3,ညွှန်ကြားရေးမှူး,ညွှန်ကြားရေးမှူး," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0037,3,ဒု-ညွှန်ကြားရေးမှူး,ဒုတိယညွှန်ကြားရေးမှူး," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0038,3,အထွေထွေမန်နေဂျာ,အထွေထွေမန်နေဂျာ," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0039,3,ဒု-အထွေထွေမန်နေဂျာ,ဒုတိယအထွေထွေမန်နေဂျာ," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0040,3,ဌာနကြီးမှူး,ဌာနကြီးမှူး," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0041,3,ဌာနမှူး,ဌာနမှူး," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0042,3,ဒု-ဌာနမှူး,ဒုတိယဌာနမှူး," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0043,3,ဒု-ပါမောက္ခချုပ်,ဒုတိယပါမောက္ခချုပ်," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0044,3,ပါမောက္ခ,ပါမောက္ခ," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0045,3,တွဲဖက်ပါမောက္ခ,တွဲဖက်ပါမောက္ခ," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0046,3,ရဲမှူးကြီး,ရဲမှူးကြီး," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0047,3,သံမှူးကြီး,သံမှူးကြီး," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0048,3,ကောင်စစ်ဝန်ချုပ်,ကောင်စစ်ဝန်ချုပ်," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0049,3,ကျောင်းအုပ်ကြီး,ကျောင်းအုပ်ကြီး," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0050,3,ဒု-ကျောင်းအုပ်ကြီး,ဒုတိယကျောင်းအုပ်ကြီး," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0051,3,ဆေးရုံအုပ်ကြီး,ဆေးရုံအုပ်ကြီး," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0052,3,အင်ဂျင်နီယာချုပ်,အင်ဂျင်နီယာချုပ်," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0053,3,ဒု-အင်ဂျင်နီယာချုပ်,ဒုတိယအင်ဂျင်နီယာချုပ်," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0054,3,အင်ဂျင်နီယာမှူးကြီး,အင်ဂျင်နီယာမှူးကြီး," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0055,3,စက်ရုံမှူး,စက်ရုံမှူး," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0056,3,ဒု-စက်ရုံမှူး,ဒုတိယစက်ရုံမှူး," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0057,3,ရေကြောင်းဌာနမှူးချုပ်,ရေကြောင်းဌာနမှူးချုပ်," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0058,3,ရေကြောင်းပြမှူးကြီး,ရေကြောင်းပြမှူးကြီး," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0059,3,ရေယာဉ်မှူးကြီး,ရေယာဉ်မှူးကြီး," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0060,3,ရေယာဉ်ဗိသုကာချုပ်,ရေယာဉ်ဗိသုကာချုပ်," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0061,3,ဆိပ်ကမ်းအရာရှိချုပ်,ဆိပ်ကမ်းအရာရှိချုပ်," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0062,3,ဒု-ရေကြောင်းဌာနမှူးချုပ်,ဒုတိယရေကြောင်းဌာနမှူးချုပ်," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0063,3,ဘူမိဗေဒအရာရှိချုပ်,ဘူမိဗေဒအရာရှိချုပ်," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0064,3,ဘူမိရူပဗေဒအရာရှိချုပ်,ဘူမိရူပဗေဒအရာရှိချုပ်," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0065,3,သုတေသနအရာရှိချုပ်,သုတေသနအရာရှိချုပ်," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0066,3,ဒုတိယစစ်ဆေးရေးအရာရှိချုပ်,ဒုတိယစစ်ဆေးရေးအရာရှိချုပ်," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0067,3,သုတေသနမှူး,သုတေသနမှူး," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0068,3,စာရင်းကိုင်ချုပ်,စာရင်းကိုင်ချုပ်," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0069,3,စာတည်းမှူးချုပ်,စာတည်းမှူးချုပ်," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0070,3,စာကြည့်တိုက်မှူး ,စာကြည့်တိုက်မှူး ," 374,000 "," 4,000 "," 394,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0071,4,ဒု-ညွှန်ကြားရေးမှူး,ဒုတိယညွှန်ကြားရေးမှူး," 341,000 "," 4,000 "," 361,000 ", Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
