sd_pcode,state_divi,d_pcode,district,ts_pcode,township,town_pcode,town,town_mmr4,longitude,latitude,level,air_bool,ctrl_tnla,ctrl_mndaa,ctrl_uwsa
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017006,Yegyi,MMR017006702,Ngathaingchaung,ငသိုင်းချောင်း,17.39927,95.07731,Other Town,0,0,0,0
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017004,Ngapudaw,MMR017004702,Ngayokekaung,ငရုတ်ကောင်း,16.52089,94.3019,Other Town,0,0,0,0
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017001,Pathein,MMR017001703,Ngwesaung,ငွေဆောင်,16.86379,94.38711,Other Town,0,0,0,0
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017021,Nyaungdon,MMR017021701,Nyaungdon,ညောင်တုန်း,17.04903,95.63359,Main Town,0,0,0,0
MMR007,Bago (East),MMR007D001,Bago,MMR007005,Nyaunglebin,MMR007005701,Nyaunglebin,ညောင်လေးပင်,17.95323,96.72151,Main Town,0,0,0,0
MMR014,Shan (South),MMR014D001,Taunggyi,MMR014002,Nyaungshwe,MMR014002701,Nyaungshwe,ညောင်ရွှေ,20.65957,96.93206,Main Town,0,0,0,0
MMR008,Bago (West),MMR008D001,Pyay,MMR008003,Padaung,MMR008003702,Oakshitpin,ဥရှစ်ပင်,18.68519,95.01383,Other Town,0,0,0,0
MMR008,Bago (West),MMR008D002,Thayarwady,MMR008010,Okpho,MMR008010702,Oe Thei Kone,အိုးသည်ကုန်း,18.0432,95.6935,Other Town,0,0,0,0
MMR013,Yangon,MMR013D001,Yangon (North),MMR013005,Taikkyi,MMR013005702,Okekan,ဥက္ကံ,17.49696,95.8607,Other Town,0,0,0,0
MMR008,Bago (West),MMR008D002,Thayarwady,MMR008010,Okpho,MMR008010701,Okpho,အုတ်ဖို,18.13022,95.67177,Main Town,0,0,0,0
MMR007,Bago (East),MMR007D002,Taungoo,MMR007013,Oktwin,MMR007013701,Oktwin,အုတ်တွင်း,18.83293,96.41363,Main Town,0,0,0,0
MMR008,Bago (West),MMR008D001,Pyay,MMR008003,Padaung,MMR008003701,Padaung,ပန်းတောင်း,18.71797,95.15353,Main Town,0,0,0,0
MMR003,Kayin,MMR003D001,Hpa-An,MMR003002,Hlaingbwe,MMR003002702,Paingkyon,ပိုင်ကျုံ,17.02169958,97.985965,Other Town,0,0,0,0
MMR009,Magway,MMR009D004,Pakokku,MMR009018,Pakokku,MMR009018701,Pakokku,ပခုက္ကူ,21.335,95.08227,District Capital,0,0,0,0
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006007,Palaw,MMR006007702,Palauk,ပလောက်,13.27222656,98.62248264,Other Town,0,0,0,0
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006007,Palaw,MMR006007701,Palaw,ပုလော,12.97530595,98.6457919,Main Town,0,0,0,0
MMR005,Sagaing,MMR005D009,Yinmarbin,MMR005019,Pale,MMR005019701,Pale,ပုလဲ,21.93415,94.87486,Main Town,0,0,0,0
MMR004,Chin,MMR004D004,Matupi,MMR004009,Paletwa,MMR004009701,Paletwa,ပလက်ဝ,21.30441,92.85461,Main Town,0,0,0,0
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005,Chipwi,MMR001005702,Pang War,ပန်ဝါ မ,25.59866,98.37863,Other Town,0,0,0,0
MMR001,Kachin,MMR001D004,Puta-O,MMR001017,Nawngmun,MMR001017702,Pannandin,ပန်နန်းဒင်,27.72810198,97.87661842,Other Town,0,0,0,0
MMR005,Sagaing,MMR005S001,Naga Self-Administered Zone,MMR005037,Nanyun,MMR005037702,Pansaung,ပန်ဆောင်,27.23683197,96.1671161,Other Town,0,0,0,0
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017020,Pantanaw,MMR017020701,Pantanaw,ပန်းတနော်,16.98212,95.46595,Main Town,0,0,0,0
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017001,Pathein,MMR017001701,Pathein,ပုသိမ်,16.77924,94.73303,State/Region Capital,0,0,0,0
MMR009,Magway,MMR009D004,Pakokku,MMR009021,Pauk,MMR009021701,Pauk,ပေါက်,21.45215,94.47374,Main Town,0,0,0,0
MMR008,Bago (West),MMR008D001,Pyay,MMR008002,Paukkhaung,MMR008002701,Paukkhaung,ပေါက်ခေါင်း,18.9028,95.54819,Main Town,0,0,0,0
MMR012,Rakhine,MMR012D001,Sittwe,MMR012007,Pauktaw,MMR012007701,Pauktaw,ပေါက်တော,20.18098,93.06817,Main Town,0,0,0,0
MMR011,Mon,MMR011D002,Thaton,MMR011008,Paung,MMR011008701,Paung,ပေါင်,16.61679,97.45672,Main Town,0,0,0,0
MMR005,Sagaing,MMR005D007,Mawlaik,MMR005032,Paungbyin,MMR005032701,Paungbyin,ဖောင်းပြင်,24.26768,94.81686,Main Town,0,0,0,0
MMR008,Bago (West),MMR008D001,Pyay,MMR008001,Pyay,MMR008001702,Paungdale,ပေါင်းတလည်,18.84968,95.38459,Other Town,0,0,0,0
MMR008,Bago (West),MMR008D001,Pyay,MMR008004,Paungde,MMR008004701,Paungde,ပေါင်းတည်,18.48947,95.50721,Main Town,0,0,0,0
MMR014,Shan (South),MMR014S002,Pa-O Self-Administered Zone,MMR014009,Pinlaung,MMR014009703,Pawng Lawng,ပေါင်းလောင်း,19.98626219,96.58254462,Other Town,0,0,0,0
MMR007,Bago (East),MMR007D001,Bago,MMR007005,Nyaunglebin,MMR007005704,Peinzalok,ပိန်းဇလုပ်,18.0699,96.66836,Other Town,0,0,0,0
MMR014,Shan (South),MMR014D001,Taunggyi,MMR014010,Pekon,MMR014010701,Pekon,ဖယ်ခုံ,19.86348,97.00831,Main Town,0,0,0,0
MMR007,Bago (East),MMR007D001,Bago,MMR007006,Kyauktaga,MMR007006702,Penwegon,ပဲနွယ်ကုန်း,18.22271,96.56886,Other Town,0,0,0,0
MMR007,Bago (East),MMR007D002,Taungoo,MMR007012,Phyu,MMR007012701,Phyu,ဖြူး,18.48438,96.43572,Main Town,0,0,0,0
MMR014,Shan (South),MMR014S001,Danu Self-Administered Zone,MMR014006,Pindaya,MMR014006701,Pindaya,ပင်းတယ,20.94158,96.66279,Main Town,0,0,0,0
MMR014,Shan (South),MMR014S002,Pa-O Self-Administered Zone,MMR014009,Pinlaung,MMR014009701,Pinlaung,ပင်လောင်း,20.12439,96.78219,Main Town,0,0,0,0
MMR005,Sagaing,MMR005D011,Kawlin,MMR005026,Pinlebu,MMR005026701,Pinlebu,ပင်လည်ဘူး,24.08089,95.37026,Main Town,0,0,0,0
MMR014,Shan (South),MMR014D002,Loilen,MMR014011,Loilen,MMR014011702,Pinlon,ပင်လုံ,20.991,97.532,Other Town,0,0,0,0
MMR012,Rakhine,MMR012D001,Sittwe,MMR012002,Ponnagyun,MMR012002701,Ponnagyun,ပုဏ္ဏားကျွန်း,20.33199,93.0043,Main Town,0,0,0,0
MMR016,Shan (East),MMR016D002,Monghsat,MMR016008,Mongton,MMR016008702,Ponparkyin,ပုံပါကျင်,19.8892,98.9382,Other Town,0,0,0,0
MMR001,Kachin,MMR001D004,Puta-O,MMR001014,Puta-O,MMR001014701,Puta-O,ပူတာအို,27.29934,97.4159,District Capital,0,0,0,0
MMR008,Bago (West),MMR008D001,Pyay,MMR008005,Thegon,MMR008005702,Puteekone,ပုတီးကုန်း,18.57236,95.45645,Other Town,0,0,0,0
MMR009,Magway,MMR009D002,Minbu,MMR009008,Pwintbyu,MMR009008701,Pwintbyu,ပွင့်ဖြူ,20.36334,94.66933,Main Town,0,0,0,0
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017023,Pyapon,MMR017023701,Pyapon,ဖျာပုံ,16.2916097,95.68019333,District Capital,0,0,0,0
MMR008,Bago (West),MMR008D001,Pyay,MMR008001,Pyay,MMR008001701,Pyay,ပြည်,18.82151,95.22103,District Capital,0,0,0,0
MMR006,Tanintharyi,MMR006D003,Kawthoung,MMR006010,Bokpyin,MMR006010702,Pyigyimandaing,ပြည်ကြီးမဏ္ဍိုင်,11.46842125,99.00143833,Other Town,0,0,0,0
MMR018,Nay Pyi Taw,MMR018D002,Det Khi Na,MMR018006,Pyinmana,MMR018006701,Pyinmana,ပျဉ်းမနား,19.7361,96.20895,Main Town,0,0,0,0
MMR017,Ayeyarwady,MMR017D004,Labutta,MMR017016,Labutta,MMR017016702,Pyinsalu,ပြင်စလူ,15.82676977,94.80943333,Other Town,0,0,0,0
MMR007,Bago (East),MMR007D001,Bago,MMR007005,Nyaunglebin,MMR007005703,Pyuntasa,ပြွန်တန်ဆာ,17.87517,96.71597,Other Town,0,0,0,0
MMR012,Rakhine,MMR012D003,Kyaukpyu,MMR012013,Ramree,MMR012013701,Ramree,ရမ်းဗြဲ,19.08769,93.85886,Main Town,0,0,0,0
MMR012,Rakhine,MMR012D001,Sittwe,MMR012008,Rathedaung,MMR012008701,Rathedaung,ရသေ့တောင်,20.48215363,92.75605687,Main Town,0,0,0,0
MMR004,Chin,MMR004D004,Matupi,MMR004007,Matupi,MMR004007702,Rezua,ရေဇွာ,22.05289,93.40857,Other Town,0,0,0,0
MMR004,Chin,MMR004D001,Falam,MMR004001,Falam,MMR004001702,Rihkhawdar,ရိခေါ်ဒါရ်,23.36096889,93.38869076,Other Town,0,0,0,0
MMR009,Magway,MMR009D001,Magway,MMR009003,Chauk,MMR009003702,Sa Lay,စလေ,20.8338,94.7424,Other Town,0,0,0,0
MMR012,Rakhine,MMR012D003,Kyaukpyu,MMR012011,Kyaukpyu,MMR012011702,Sa Ne,စနဲ,19.2166,93.7336,Other Town,0,0,0,0
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002,Waingmaw,MMR001002702,Sadung,ဆဒုံး,25.39708896,97.89996053,Other Town,0,0,0,0
MMR005,Sagaing,MMR005D001,Sagaing,MMR005001,Sagaing,MMR005001701,Sagaing,စစ်ကိုင်း,21.88008,95.96231,District Capital,0,0,0,0
MMR005,Sagaing,MMR005D002,Shwebo,MMR005010,Tabayin,MMR005010702,Saing Pyin,စိုင်ပြင်,22.5561,95.2366,Other Town,0,0,0,0
MMR009,Magway,MMR009D002,Minbu,MMR009007,Minbu,MMR009007702,Saku,စကု,20.22609,94.76831,Other Town,0,0,0,0
MMR009,Magway,MMR009D002,Minbu,MMR009010,Salin,MMR009010701,Salin,စလင်း,20.5772,94.65936,Main Town,0,0,0,0
MMR005,Sagaing,MMR005D009,Yinmarbin,MMR005018,Salingyi,MMR005018701,Salingyi,ဆားလင်းကြီး,21.97363131,95.08269357,Main Town,0,0,0,0
MMR004,Chin,MMR004D004,Matupi,MMR004009,Paletwa,MMR004009702,Samee,ဆမီး,21.29333,93.09649,Other Town,0,0,0,0
MMR005,Sagaing,MMR005D001,Sagaing,MMR005001,Sagaing,MMR005001702,Sar Taung,ဆားတောင်,22.1639,95.7574,Other Town,0,0,0,0
MMR009,Magway,MMR009D005,Gangaw,MMR009025,Saw,MMR009025701,Saw,ဆော,21.15223705,94.15465822,Main Town,0,0,0,0
MMR009,Magway,MMR009D004,Pakokku,MMR009022,Seikphyu,MMR009022701,Seikphyu,ဆိပ်ဖြူ,20.90651,94.79243,Main Town,0,0,0,0
MMR002,Kayah,MMR002D001,Loikaw,MMR002004,Shadaw,MMR002004701,Shadaw,ရှားတော,19.63174,97.52073,Main Town,0,0,0,0
